"","rho_set","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1"
"1",-0.9,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.9,-0.673328697006784,0.226671302993216,-0.226671302993216,1.18104697194318,1.36015501112014
"2",-0.85,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.85,-0.636285155715064,0.213714844284935,-0.213714844284935,1.18330495784493,1.3626456973841
"3",-0.8,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.8,-0.599926020101294,0.200073979898706,-0.200073979898706,1.18357293409368,1.3622100510684
"4",-0.75,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.75,-0.561565140301625,0.188434859698375,-0.188434859698375,1.18150761183425,1.36046936181597
"5",-0.7,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.7,-0.524380974872564,0.175619025127436,-0.175619025127436,1.18542576793705,1.36420848700087
"6",-0.65,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.65,-0.48680793253831,0.16319206746169,-0.16319206746169,1.18155886271509,1.36081546293767
"7",-0.6,0,10000,0,10000,0,0,10000,0,10000,0,0,0,-0.6,-0.449040144212514,0.150959855787486,-0.150959855787486,1.18262627975441,1.36182928639025
"8",-0.55,3,9997,3,9997,0,0,10000,0,10000,0,0,0,-0.55,-0.411958694034948,0.138041305965052,-0.138041305965052,1.18194646217512,1.36120342185375
"9",-0.5,3,9997,3,9997,0,0,10000,0,10000,0,0,0,-0.5,-0.374036385936265,0.125963614063735,-0.125963614063735,1.18147512977655,1.36052382021146
"10",-0.45,9,9991,9,9991,0,0,10000,0,10000,0,0,0,-0.45,-0.33699006137307,0.11300993862693,-0.11300993862693,1.18165481912726,1.36034145524465
"11",-0.4,35,9965,36,9964,0,1,10000,0,10000,0,0,0,-0.4,-0.300004575503846,0.099995424496154,-0.099995424496154,1.18476903431038,1.36436878376909
