"","N","A0_unstable","A0_stable","A1_unstable","A1_stable","A1_stabilised","A1_destabilised","A0_infeasible","A0_feasible","A1_infeasible","A1_feasible","A1_made_feasible","A1_made_infeasible","A0_rho","A1_rho","rho_diff","rho_abs","complex_A0","complex_A1"
"1",1,0,2e+05,0,2e+05,0,0,100129,99871,100129,99871,0,0,NA,NA,NA,NA,NA,NA
"2",2,0,2e+05,0,2e+05,0,0,149857,50143,149646,50354,7347,7136,NA,NA,NA,NA,0.637359007909491,0.637901064298425
"3",3,0,2e+05,0,2e+05,0,0,176308,23692,175518,24482,8261,7471,3.4144675083024e-05,0.0536520447252013,0.0536179000501182,-0.00621499250945272,0.704924392226026,0.752065296579755
"4",4,0,2e+05,0,2e+05,0,0,189852,10148,188986,11014,5724,4858,-5.75363715235147e-06,0.0448274636709223,0.0448332173080747,-0.00699696240560471,0.805850039401128,0.881978035462289
"5",5,2,199998,2,199998,0,0,196142,3858,195562,4438,3019,2439,0.000883675504597398,0.0386525886988591,0.0377689131942617,-0.00850614890311069,0.89772421881891,0.997421452519047
"6",6,5,199995,5,199995,0,0,198649,1351,198332,1668,1332,1015,0.00103298195779233,0.0319470883444772,0.0309141063866849,-0.00664421784725102,0.981652518568224,1.09976757061475
"7",7,25,199975,25,199975,0,0,199612,388,199444,556,497,329,7.5810992958801e-05,0.0272086872984788,0.02713287630552,-0.00614653237172195,1.05990726430955,1.19412869054848
"8",8,76,199924,77,199923,0,1,199914,86,199838,162,154,78,-0.00037189758144565,0.023979885185956,0.0243517827674017,-0.00574124520479188,1.13291787957889,1.28073675817853
"9",9,132,199868,132,199868,0,0,199979,21,199963,37,36,20,0.000352392218319356,0.021209408156403,0.0208570159380837,-0.00481283620093243,1.20104812151206,1.3620164672357
"10",10,269,199731,270,199730,0,1,199994,6,199993,7,7,6,0.000133545061418009,0.0194075415412764,0.0192739964798584,-0.00385705790568018,1.26574013074401,1.43839430376425
"11",11,528,199472,534,199466,0,6,199999,1,199997,3,3,1,0.000513819009778506,0.0184426719386263,0.0179288529288478,-0.00371063580171037,1.32707019792816,1.51047666898838
"12",12,889,199111,905,199095,0,16,2e+05,0,2e+05,0,0,0,-0.000246411528695285,0.0164678663582926,0.0167142778869879,-0.0036358817899026,1.38634231933647,1.58013192755482
"13",13,1473,198527,1508,198492,0,35,2e+05,0,2e+05,0,0,0,-6.91387381906501e-05,0.0152076269222707,0.0152767656604614,-0.00294974163813768,1.44316309935158,1.6467272274123
